"file","Ftrgt","Btrigger","HCR","TACconstr","BB","OM","Blim","catch_long","catch_short","catch_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","catch_median_long","catch_median_short","catch_median_medium","conv_failed","F_maxed","ssb_median_long","ssb_median_short","ssb_median_medium","recovery_proportion","recovery_time","iavTAC_long","iavTAC_short","iavTAC_medium","fbar_median_long","fbar_median_short","fbar_median_medium","slope_long","slope_medium","slope_short"
"Alt1_HCR-A_Ftrgt-0.28_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds",0.28,180000,"A",FALSE,FALSE,"Alt1",94000,66325.16875,49752.4856,67384.80141,0.031722054,0.028499496,0.026988922,0.042900302,0.040281974,0.045317221,0.048338369,0.317902015,0.216134985,0.32847327,53866,40693,55334,8,0,212799.4428,167493.7007,201707.6145,1,1,0.317651049,0.298085857,0.328494721,0.227512067,0.225639238,0.234342535,0.549714629,0.54845815,0.782338807
"Alt1_HCR-A_Ftrgt-0.28_Btrigger-180000_TACconstr-TRUE_BB-TRUE.rds",0.28,180000,"A",TRUE,TRUE,"Alt1",94000,66258.33788,48660.12878,69750.63837,0.032225579,0.029305136,0.026787513,0.043504532,0.043303122,0.047331319,0.057401813,0.417229713,0.273147581,0.424494308,51733,37032.3,55958.5,6,0,212859.9802,167462.0267,203480.0503,1,1,0.324993984,0.303879152,0.336066077,0.222855591,0.218491335,0.236470568,0.551606767,0.549969958,0.776976977
"Alt1_HCR-B_Ftrgt-0.27_Btrigger-170000_TACconstr-TRUE_BB-TRUE.rds",0.27,170000,"B",TRUE,TRUE,"Alt1",94000,65855.71891,48038.76664,68942.00825,0.027062374,0.023440644,0.025955734,0.035412475,0.035211268,0.040241449,0.049295775,0.438938504,0.291274128,0.450297899,52647.3,37493.55,55923.4,5,0,218274.3026,167596.9926,207469.1822,1,1,0.332599133,0.312780171,0.340132052,0.223451318,0.218976231,0.236391103,0.501151266,0.498297617,0.628153785
"Alt1_HCR-B_Ftrgt-0.29_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.29,190000,"B",FALSE,FALSE,"Alt1",94000,66764.54137,49794.30915,67934.64543,0.028291457,0.025829146,0.024723618,0.03678392,0.03718593,0.040201005,0.045226131,0.351892424,0.233615372,0.361361825,53933.5,40042,55233,4,0,210486.9218,168354.1469,201938.4048,1,1,0.35137688,0.320919233,0.360939169,0.230656343,0.224643262,0.237917187,0.584501402,0.580612858,0.806768122
"Alt1_HCR-C_Ftrgt-0.26_Btrigger-160000_TACconstr-TRUE_BB-TRUE.rds",0.26,160000,"C",TRUE,TRUE,"Alt1",94000,65312.88762,47887.48316,68368.23714,0.031639839,0.028672032,0.026358149,0.042857143,0.043259557,0.047283702,0.058350101,0.406237468,0.277740796,0.411574868,52328.3,36527.4,55760.55,5,0,220463.6223,167671.6321,208344.9551,1,1,0.300209292,0.283021596,0.309618321,0.21913319,0.216683446,0.231725113,0.455501051,0.463756508,0.48988989
"Alt1_HCR-C_Ftrgt-0.28_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds",0.28,180000,"C",FALSE,FALSE,"Alt1",94000,66342.16264,49823.5005,67297.82216,0.031873112,0.028499496,0.026787513,0.043705942,0.039274924,0.045317221,0.049345418,0.316891874,0.218371289,0.328760482,53944.5,40663,55232,6,0,212624.7515,167495.0612,202116.9023,1,1,0.316480367,0.299020511,0.327303248,0.22799115,0.226354121,0.233399055,0.549669537,0.547256708,0.779935923
"Baseline_HCR-A_Ftrgt-0.12_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.12,130000,"A",FALSE,FALSE,"Baseline",94000,40363.5426,25794.8684,38058.326,0.0105,0.0018,0.0302,0.0082,0.004,0.043,0.016,0.185074692,0.293193777,0.191555718,35230.5,19807,32843,0,0,338240.7069,183709.9578,282238.7409,1,1,0.184124188,0.21477262,0.189537317,0.128126136,0.118249831,0.130566076,0.0147,0.0372,0.1242
"Baseline_HCR-A_Ftrgt-0.12_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.12,150000,"A",FALSE,FALSE,"Baseline",94000,40362.9765,25503.499,38066.285,0.00985,0.0016,0.0292,0.007,0.003,0.041,0.014,0.186682627,0.315166358,0.194131679,35248,19785.5,32914,0,0,338456.4788,183997.2076,283300.6328,1,1,0.185780855,0.231314966,0.192076179,0.128050362,0.115550209,0.129975944,0.0353,0.0834,0.2478
"Baseline_HCR-A_Ftrgt-0.12_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.12,170000,"A",FALSE,FALSE,"Baseline",94000,40344.769,25027.956,38052.364,0.0088,0.0012,0.0272,0.0056,0.002,0.036,0.011,0.190074772,0.355165803,0.200377113,35273,19579.5,33076.5,0,0,339006.5984,185083.2679,284932.8657,1,1,0.189144812,0.256837802,0.198792166,0.12758706,0.112303895,0.129030672,0.0679,0.1368,0.5524
"Baseline_HCR-A_Ftrgt-0.12_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.12,190000,"A",FALSE,FALSE,"Baseline",94000,40309.0557,24286.7324,38010.0438,0.00805,0.0011,0.0252,0.0048,0.002,0.035,0.01,0.193129858,0.385852544,0.205835031,35290,17753,33118.5,0,0,340291.3189,186916.2813,287350.8065,1,1,0.192604563,0.280113662,0.203727671,0.126582679,0.106011252,0.127746213,0.1121,0.1988,0.6616
